---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
8.83387725,,37565.6209,,25613.1465,,23303.2537,,36889.6454,,25165.4345,,18570.8533,,34360.1074,,20405.3443,,21777.4641,,,,
9.00053725,28681.5163,,21638.2166,,19051.8209,,13382.2979,,23165.6552,,10317.7067,,22837.3154,,16238.0206,,18409.5163,,,,,
9.1672725,,37630.7451,,25686.5478,,23676.2388,,36629.7021,,25201.0759,,18815.0133,,34167.7315,,20546.5402,,21708.6013,,,,
9.33393225,28656.2092,,21646.9809,,19082.3881,,13381.3901,,23198.2897,,10339.2267,,22836.4564,,16243.7938,,18448.0261,,,,,
9.50059225,,37482.1438,,25691.8981,,23651.9403,,36460.3688,,25240.2759,,18846.2133,,33869.6913,,20755.299,,21825.3333,,,,
9.667252,28728.3399,,21657.8854,,19036,,13429.617,,23049.931,,10342,,22846.3893,,16300.3052,,18442.6667,,,,,
9.83391175,,37540.4183,,25593.2739,,23531.4925,,36028.6525,,25293.1862,,18794.4533,,33806.3624,,20757.8062,,21866.6144,,,,
10.0006473,28732.4967,,21595.5669,,18943.9403,,13502.0142,,23197.6,,10392.96,,22942.7651,,16266.6887,,18508.732,,,,,
10.167307,,37515.0327,,25685.5541,,23492.806,,35625.9574,,25261.3241,,18902.8,,33993.2617,,20742.1031,,21720.6275,,,,
10.3339668,28674.2745,,21738.6497,,18954.5672,,13486.3546,,23134.5103,,10307.7333,,22901.4765,,16212.2887,,18512.4967,,,,,
10.5006268,,37492.0523,,25753.8599,,23494.4179,,35963.8582,,25184.5517,,19192.1333,,33723.5168,,20654.3505,,21624.732,,,,
10.667362,28812.2876,,21629.5541,,18988.597,,13527.5461,,23161.1862,,10281.8667,,22904.0268,,16277.8722,,18452.2353,,,,,
10.8340217,,37731.8954,,25857.8344,,23518.806,,35923.8014,,25181.7655,,19073.76,,33479.3826,,20705.6165,,21739.5556,,,,
11.0006818,28810.8758,,21628.6115,,19043.4925,,13435.1206,,23161.0207,,10300.4533,,22836.4564,,16280.9402,,18455.1634,,,,,
11.1673415,,37689.0719,,25816.0764,,23376.0597,,35721.305,,25172.2759,,18926.8533,,33524.3758,,20637.1629,,21653.1242,,,,
11.3340015,28800.4183,,21597.0446,,19072.1791,,13456,,23102.2069,,10355.7867,,22832.8859,,16238.9443,,18493.3333,,,,,
11.5007367,,37720.5229,,25813.7325,,23429.5821,,35516.6241,,25185.5172,,18926.88,,33286.094,,20604.833,,21720.5229,,,,
11.6673965,28743.268,,21591.5924,,19011.7015,,13411.461,,23115.8069,,10350.3733,,22873.047,,16271.0433,,18479.6078,,,,,
11.8340565,,37560.3922,,25832.7643,,23331.7015,,35843.6596,,25199.9448,,18820.88,,33101.8255,,20620.9979,,21664.0523,,,,
12.0007162,28721.6209,,21699.4395,,18943.7313,,13421.9574,,23149.3241,,10348.72,,22914.3624,,16211.6619,,18452.5229,,,,,
12.1674515,,37551.2157,,25703.7962,,23369.2836,,36139.9149,,25215.2828,,18809.7867,,32945.396,,20551.5546,,21662.5098,,,,
12.3341115,28671.268,,21628.7134,,19047.5522,,13450.7801,,23125.2414,,10340.5067,,22862.8188,,16202.7216,,18440.4183,,,,,
12.5007712,,37577.4118,,25690.0637,,23403.3433,,35757.8723,,25264.3586,,18771.68,,32834.4698,,20804.8495,,21519.4771,,,,
12.667431,28760.9412,,21694.4968,,18961.9403,,13411.1206,,23170.5931,,10313.2533,,22866.5503,,16298.8206,,18506.5359,,,,,
12.834091,,37596.732,,25698.7771,,23374.3582,,35649.9007,,25209.1586,,18958.2133,,32913.6376,,20797.3608,,21490.6667,,,,
13.0008262,28675.268,,21678.828,,19016.2985,,13457.305,,23149.2138,,10361.1733,,22891.0872,,16256.9567,,18453.0458,,,,,
13.167486,,37459.7647,,25631.7707,,23308.1194,,35360.8227,,25381.9034,,18809.4133,,34224.0268,,20883.0351,,21975.1634,,,,
13.334146,28747.0065,,21666.879,,19048.1791,,13426.0993,,23095.8069,,10337.2267,,22883.0872,,16267.4804,,18422.6144,,,,,
13.5008057,,37572.366,,25581.5287,,23364.3582,,35291.2908,,25253.9034,,18686.48,,33929.9597,,20926.7464,,22003.8431,,,,
13.667541,28664.1307,,21633.4777,,19055.9701,,13481.5035,,23152.9931,,10376.6667,,22868.2416,,16224.3629,,18435.5817,,,,,
13.834201,,37618.8758,,25674.5987,,23316.5075,,35168.766,,25177.8483,,19034.1867,,33666.5235,,20958.6474,,22002.0915,,,,
14.0008607,28695.5817,,21681.0191,,19088,,13460.1135,,23134.8414,,10295.4133,,22868.8591,,16202.7546,,18466.4052,,,,,
14.1675205,,37490.9281,,25672.4586,,23386.2985,,35540.0851,,25267.4759,,19170.72,,33443.5168,,21014.9278,,21889.1765,,,,
14.3341805,28658.719,,21696.6879,,19072.5373,,13487.0071,,23206.0414,,10316.2667,,22870.7383,,16199.0268,,18467.0065,,,,,
14.5009158,,37682.2745,,25706.4204,,23430.8955,,36588.8227,,25179.9172,,19234.6667,,33412,,20972.4041,,21968.5752,,,,
14.6675755,28715.3203,,21712.6624,,19075.4627,,13436.3972,,23185.9586,,10347.0667,,22903.8926,,16264.8412,,18506.8235,,,,,
14.8342355,,37634.5359,,25733.6051,,23385.4627,,36317.2199,,25333.2966,,19041.44,,33066.4698,,20908.866,,21996.6797,,,,
15.0008952,28725.5425,,21652.2038,,19061.3731,,13457.3617,,23130.5379,,10288.9333,,22849.7181,,16254.7794,,18571.9216,,,,,
15.1676305,,37761.5948,,25675.9745,,23421.0149,,36069.3901,,25300.5517,,18886.9867,,33105.2081,,20784.7258,,21932.9412,,,,
15.3342905,28646.9804,,21659.1338,,19045.0448,,13429.1915,,23180.2483,,10316.8,,22854.7114,,16209.3196,,18449.5948,,,,,
15.5009503,,37633.9608,,25675.8471,,23346.806,,35648.3972,,25292.1931,,18838.2133,,33326.5503,,20709.0144,,21745.7255,,,,
15.66761,28778.6144,,21642.3439,,19074.6269,,13458.9504,,23211.8069,,10361.6533,,22867.6242,,16269.1629,,18436.8889,,,,,
15.83427,,37595.6078,,25659.7962,,23321.8806,,35967.0071,,25299.9172,,18810.1333,,33172.9933,,20784.033,,21688.3399,,,,
16.0010052,28714.2484,,21654.2166,,19015.1343,,13406.922,,23166.2621,,10317.04,,22873.3691,,16214.5979,,18420.4706,,,,,
16.167665,,37639.9477,,25651.1592,,23318.4478,,35738.5532,,25278.5655,,18724.5067,,33072.9396,,20672,,21730.6144,,,,
16.334325,28735.2418,,21669.6051,,19050.3582,,13348.9078,,23070.2897,,10304.64,,22944.4295,,16258.5732,,18429.8039,,,,,
16.5009848,,37699.8954,,25696.6879,,23341.0448,,35287.0071,,25284.4414,,18773.5733,,32871.302,,20816.2639,,21771.3464,,,,
16.66772,28732,,21647.465,,19073.2836,,13459.1489,,23070.5655,,10311.4133,,22863.2483,,16208.9897,,18433.9346,,,,,
16.83438,,37761.4118,,25567.3885,,23324.209,,35072.5674,,25304.1379,,18733.3333,,32858.4966,,20796.4041,,21576.7059,,,,
17.0010398,28634.5359,,21623.8981,,18987.1045,,13434.5248,,23124.8,,10282.64,,22850.953,,16204.3052,,18480.7059,,,,,
