---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
11.0006063,22387.4532,,8445.39683,,10968.6176,,60683.7483,,20402.2041,,43944.7226,,16332.5106,,,,,
11.167266,,23402.705,,11645.5556,,14698.5882,,55856.9231,,19940.3537,,38889.7032,,17866.5248,,,,
11.333926,22270.5612,,8415.84127,,10947.2059,,60709.1748,,20429.7143,,43952.5935,,16444.6241,,,,,
11.5006613,,23166.2446,,11608.5714,,14741.3235,,55820.028,,19990.585,,38862.5806,,17857.6454,,,,
11.667321,22157.295,,8413.71429,,10952.6765,,60777.986,,20411.483,,43988.5419,,16363.4043,,,,,
11.833981,,23143.741,,11671.9365,,14729.0588,,55805.0629,,19995.4286,,38952.129,,17848.7943,,,,
12.0006408,22182.0144,,8461.33333,,10926,,60660.4476,,20459.8912,,43960.9548,,16398.3546,,,,,
12.1673005,,23245.9856,,11652.6984,,14691.2941,,55840.2517,,20063.3741,,38942.5548,,17897.9858,,,,
12.334036,22216.8921,,8436.03175,,10925.7941,,60714.014,,20472.0816,,43981.6774,,16353.3333,,,,,
12.5006958,,23244.3165,,11693.8413,,14738.8235,,55933.007,,20092.381,,38882.0903,,17870.0142,,,,
12.6673555,22221.3813,,8436.73016,,10922.1471,,60670.1818,,20486.6939,,43960.5419,,16394.5816,,,,,
12.8340155,,23130.3597,,11626.4444,,14739.6765,,55851.9161,,20012.0272,,38962.4,,17793.4468,,,,
13.0006753,22340.6619,,8456.22222,,10922.8824,,60602.8811,,20462.8571,,43947.1484,,16345.1064,,,,,
13.1674105,,23512.5468,,11679.8095,,14800.7059,,55861.4825,,19889.5238,,38848.3097,,17874.2695,,,,
13.3340705,22660.777,,8462.15873,,10946.4706,,60572.8671,,20385.8776,,44040.5677,,16376.1986,,,,,
13.5007303,,23656.0576,,11687.8413,,14818.3529,,55804.0559,,19862.4218,,38925.2903,,17849.3901,,,,
13.66739,22694.8777,,8420.15873,,10969.3824,,60617.5944,,20292.8707,,43961.7806,,16411.1489,,,,,
13.8341255,,23619.9424,,11704.2222,,14760.6471,,55827.5524,,19884.7619,,38880.8516,,17849.7021,,,,
14.0007852,22734.3022,,8425.71429,,10893.7941,,60615.5524,,20332.0544,,43949.8581,,16372.8511,,,,,
14.167445,,23768.3165,,11640.5079,,14716.8529,,55866.8531,,19931.9728,,38912.0516,,17803.0922,,,,
14.334105,22410.5324,,8451.71429,,10942.0588,,60609.3706,,20267.102,,43958.9419,,16358.2411,,,,,
14.5007648,,23172.777,,11671.5556,,14732.0294,,55818.1818,,19907.4558,,38934.9161,,17783.773,,,,
14.6675,22188.4892,,8481.26984,,10934.1176,,60560.8392,,20288.4898,,43950.1161,,16384.8227,,,,,
14.83416,,23339.3669,,11684,,14781.9706,,55820.5874,,19881.3333,,38902.4774,,17882.3262,,,,
15.0008197,22341.2374,,8474,,10937.2353,,60577.7622,,20260.1361,,43990.8903,,16348.3121,,,,,
15.1674795,,23377.2662,,11632.7302,,14745.3824,,55731.1049,,19916.2449,,38891.3032,,17862.383,,,,
15.3341395,22417.4676,,8448.19048,,10932.4706,,60694.6014,,20309.8231,,43956.1032,,16308.1418,,,,,
15.5008747,,23293.1223,,11658.7937,,14787.4706,,55842.8252,,19930.3946,,38850.0387,,17844.0567,,,,
15.6675345,22143.741,,8424.19048,,10926.2059,,60573.9301,,20308.1905,,43953.3935,,16383.5745,,,,,
15.8341945,,23090.964,,11678.381,,14761.5294,,55757.9301,,19895.102,,38849.1613,,17824.0284,,,,
16.0008542,22201.3237,,8435.07937,,10904.2647,,60602.7972,,20358.0408,,43935.1742,,16376.1135,,,,,
16.1675142,,23353.4388,,11653.746,,14779.0588,,55808.0559,,19900.8707,,38905.8839,,17853.7021,,,,
16.3342495,22446.3309,,8442.95238,,10947.0882,,60670.4895,,20300.9796,,43959.9742,,16384.1418,,,,,
16.5009092,,23469.6115,,11720.381,,14775.0294,,55836.028,,19920.1905,,38898.6323,,17892.7943,,,,
16.6675692,22310.446,,8448.7619,,10998.1765,,60589.3147,,20288.4354,,43930.3226,,16335.3759,,,,,
16.834229,,23137.6115,,11670,,14760.3529,,55868,,19934.0408,,38848.9032,,17873.305,,,,
17.0008888,21999.0216,,8472.98413,,10949.2059,,60640.5594,,20287.6735,,43962.9419,,16355.8298,,,,,
17.1676242,,23077.6691,,11701.5873,,14720.5294,,55791.972,,19882.9932,,38853.9871,,17851.5745,,,,
17.334284,22060.1151,,8490.22222,,10947.9118,,60591.6923,,20336.4898,,43954.5548,,16364.9645,,,,,
17.5009438,,23009.8993,,11679.619,,14740.0882,,55762.7692,,19937.7959,,38815.1484,,17822.2128,,,,
17.6676038,21983.0504,,8412.4127,,10952.9118,,60649.1748,,20367.8095,,43944,,16334.5532,,,,,
17.8342635,,22968.259,,11630.6032,,14760.7647,,55771.3287,,19933.9864,,38805.0581,,17859.6596,,,,
18.0009988,22007.223,,8474.34921,,10939.1471,,60623.8601,,20252.7347,,43967.8194,,16367.0355,,,,,
18.1676588,,23044.7194,,11661.619,,14805.7647,,55734.6853,,19954.9932,,38885.3935,,17832.8511,,,,
18.3343185,21961.9281,,8425.11111,,10919.6176,,60578.7972,,20321.3605,,43967.329,,16375.5745,,,,,
18.5009782,,23024.4029,,11645.746,,14762.5,,55752.6993,,19959.7279,,38837.2129,,17808.4539,,,,
18.6677138,22013.1511,,8435.46032,,10942.3529,,60646.6294,,20392.0816,,43915.4581,,16344.3121,,,,,
18.8343735,,23063.3381,,11638.0952,,14774,,55757.4266,,19912.0816,,38808.5161,,17801.5603,,,,
19.0010332,22058.6187,,8450.98413,,10905.0294,,60685.6503,,20335.0476,,43895.5355,,16352.766,,,,,
19.1676932,,23109.7554,,11625.5556,,14713.1765,,55724.028,,19952.7891,,38865.2129,,17810.922,,,,
19.334353,22070.8777,,8422.57143,,10927.7059,,60558.4336,,20385.3605,,43886.271,,16328.9078,,,,,
19.5010882,,23176.3453,,11636.8254,,14695.0294,,55796.5315,,19904.8707,,38857.1355,,17796.3404,,,,
19.6677482,22114.0432,,8477.01587,,10957.4412,,60542.4056,,20383.4286,,43983.9484,,16313.5035,,,,,
19.834408,,22949.8705,,11655.3651,,14773,,55781.4266,,19937.8231,,38850.3484,,17815.4894,,,,
20.0010678,22058.5324,,8456.92063,,10942.5,,60570.4895,,20416.6259,,43894.2194,,16342.8652,,,,,
20.1677278,,23129.2374,,11695.9048,,14750.2647,,55704,,19931.2653,,38791.4839,,17800.9362,,,,
20.334463,22172.5468,,8484.73016,,10944.9412,,60594.8531,,20373.7959,,43957.1097,,16371.1489,,,,,
20.5011228,,23278.2734,,11680.8254,,14786.7647,,55710.5734,,19922.3946,,38826.5548,,17813.9858,,,,
20.6677828,22439.741,,8472.92063,,10913.3235,,60570.3497,,20350.5306,,43882.8645,,16315.8582,,,,,
20.8344425,,23357.8705,,11705.0159,,14771.0294,,55684.7273,,19890.8299,,38814.6581,,17805.3901,,,,
21.0011025,22410.8777,,8470.31746,,10920.5588,,60593.958,,20314.6939,,43840.6452,,16297.844,,,,,
21.1678378,,23411.2518,,11684.6667,,14748.8529,,55791.1608,,19898.3129,,38841.4968,,17796.766,,,,
