---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
16.5009092,,16846.964,,10425.9683,,11932.6765,,45101.4266,,16278.449,,27525.5226,,13592.5106,,,,
16.6675692,16869.8417,,7487.55556,,8760.70588,,50841.2308,,16802.7755,,33424.8,,12154.6383,,,,,
16.834229,,16888.5468,,10404.5079,,11882.9118,,45119.6643,,16270.3401,,27575.3806,,13564,,,,
17.0008888,16930.4173,,7472.57143,,8772.44118,,50792.7552,,16823.7823,,33430.7097,,12183.8582,,,,,
17.1676242,,16838.446,,10392.4127,,11884.2353,,45126.4336,,16228.8435,,27549.4194,,13580.2553,,,,
17.334284,16907.6835,,7503.01587,,8756.38235,,50847.9161,,16815.6735,,33462.4516,,12126.0709,,,,,
17.5009438,,16794.8201,,10399.1111,,11920.2941,,45126.4895,,16271.9728,,27541.7032,,13572.6809,,,,
17.6676038,16929.036,,7470.25397,,8770.61765,,50738.9091,,16799.8912,,33442.0387,,12160.7943,,,,,
17.8342635,,16832.259,,10431.746,,11898.9118,,45123.0769,,16265.2517,,27556.929,,13581.9574,,,,
18.0009988,16892.3741,,7467.26984,,8769.73529,,50790.3217,,16805.6871,,33374.6581,,12177.8156,,,,,
18.1676588,,16823.3094,,10454.7619,,11897.3824,,45042.6014,,16284.4898,,27567.871,,13599.6028,,,,
18.3343185,16944.1727,,7522.69841,,8775.61765,,50854.5175,,16835.2381,,33438.0903,,12165.7305,,,,,
18.5009782,,16859.9424,,10401.4286,,11903.8235,,45114.042,,16278.2585,,27563.7677,,13570.1277,,,,
18.6677138,16897.7554,,7492.53968,,8737.97059,,50814.4615,,16798.6395,,33454.4516,,12164.3121,,,,,
18.8343735,,16836.2878,,10446.8889,,11884.4706,,45146.9091,,16317.8503,,27517.8065,,13570.1277,,,,
19.0010332,16885.3525,,7524.44444,,8742.20588,,50831.1329,,16806.5578,,33382.1677,,12177.0496,,,,,
19.1676932,,16868.8345,,10399.5873,,11876.2353,,45134.4895,,16309.1429,,27595.3032,,13564.6809,,,,
19.334353,16937.0647,,7493.14286,,8757.73529,,50882.9371,,16807.9184,,33367.4323,,12165.5603,,,,,
19.5010882,,16819.5108,,10401.2698,,11871.7647,,45020,,16307.5646,,27537.0323,,13556,,,,
19.6677482,16929.9856,,7484.12698,,8752.58824,,50963.8601,,16849.7415,,33447.6645,,12142.7801,,,,,
19.834408,,16907.7986,,10422.3175,,11875.8529,,45063.021,,16255.1565,,27542.4774,,13549.8723,,,,
20.0010678,16959.5971,,7507.65079,,8760.91176,,50790.1259,,16825.8503,,33423.0452,,12156.9645,,,,,
20.1677278,,16867.4532,,10420.4762,,11877.7059,,45056.6713,,16246.8299,,27537.2129,,13572.3121,,,,
20.334463,16961.0647,,7516.73016,,8753.44118,,50789.3147,,16812.3265,,33434.3484,,12164.1702,,,,,
20.5011228,,16864.3741,,10442.6984,,11852.7353,,45136.4755,,16272.0544,,27591.7677,,13557.7872,,,,
20.6677828,16962.446,,7483.2381,,8763.70588,,50782.1259,,16772.4898,,33480.5935,,12156.0567,,,,,
20.8344425,,16859.7986,,10421.8413,,11882.1471,,45101.2867,,16229.2517,,27588.2581,,13557.6738,,,,
21.0011025,16873.4964,,7455.87302,,8781.05882,,50773.0629,,16799.5646,,33397.4452,,12179.5177,,,,,
21.1678378,,16844.5755,,10412.5714,,11863,,45092.2797,,16245.415,,27534.4,,13560.1418,,,,
21.3344975,16905.0072,,7498.06349,,8741.32353,,50764.0839,,16803.7279,,33429.0581,,12165.2199,,,,,
21.5011575,,16830.1583,,10395.2063,,11863.8529,,45132.3077,,16286.2585,,27560.929,,13553.5035,,,,
21.6678172,16962.8201,,7441.77778,,8779.73529,,50744.951,,16807.102,,33465.6774,,12188.1418,,,,,
21.834477,,16911.4532,,10386,,11874.4118,,45092.8392,,16273.0612,,27528.8,,13553.6454,,,,
22.0012125,16923.482,,7478.73016,,8727.58824,,50808.6434,,16804.381,,33365.6258,,12163.6596,,,,,
22.1678722,,16862.0144,,10372.4127,,11895.0294,,45121.6783,,16295.483,,27541.4968,,13506.2979,,,,
22.334532,16902.964,,7479.55556,,8747.32353,,50777.986,,16800.4354,,33416.0258,,12174.922,,,,,
22.501192,,16858.6187,,10375.2381,,11904.0588,,45087.8601,,16270.2313,,27575.5613,,13496.8794,,,,
22.6678518,16935.223,,7487.36508,,8760.52941,,50850.5455,,16812.1361,,33400.1032,,12136.9929,,,,,
22.834587,,16844.6619,,10385.5238,,11883.5588,,45151.0769,,16239.483,,27552.8516,,13535.4326,,,,
23.001247,16977.4964,,7466.03175,,8758.38235,,50798.4615,,16780.3265,,33457.9613,,12169.6738,,,,,
23.1679068,,16874.7338,,10406.1587,,11854.7059,,45132.8392,,16298.5306,,27551.6645,,13516.766,,,,
23.3345665,16958.7626,,7498.03175,,8749.38235,,50818.4056,,16803.4014,,33411.6903,,12160.1418,,,,,
23.501302,,16920.2302,,10386.6984,,11885.1176,,45093.8462,,16229.8776,,27529.6774,,13568.2553,,,,
23.6679617,16952.6906,,7484.47619,,8760.67647,,50834.0979,,16828.1905,,33494.5548,,12186.9787,,,,,
23.8346215,,16843.9424,,10416,,11865.3529,,45059.5245,,16242.8844,,27540.9032,,13448.0851,,,,
24.0012815,16947.4245,,7479.33333,,8742.20588,,50817.9301,,16804.1361,,33388.2323,,12189.5319,,,,,
24.1679412,,16821.3813,,10429.0794,,11913.8824,,45053.3706,,16238.9932,,27534.2452,,13514.383,,,,
24.3346765,16948.777,,7514.22222,,8744.47059,,50760.6434,,16806.3401,,33447.871,,12205.5887,,,,,
24.5013365,,16865.036,,10423.619,,11895.3235,,45090.7692,,16229.0068,,27533.9613,,13517.4468,,,,
24.6679963,16946.1007,,7488.8254,,8753.76471,,50794.6014,,16806.4218,,33412.9806,,12184.7092,,,,,
24.834656,,16888.5468,,10418.0952,,11909.2059,,45116.8112,,16235.7551,,27547.1742,,13540.1418,,,,
25.001316,16928.9496,,7496.15873,,8775.55882,,50727.4126,,16801.3061,,33417.6516,,12171.8865,,,,,
25.1680513,,16885.7266,,10416.5397,,11868.9118,,45087.5245,,16224.6531,,27563.0968,,13543.7163,,,,
25.334711,16904.518,,7481.93651,,8754.14706,,50832.7832,,16783.102,,33388.6452,,12222.2411,,,,,
25.501371,,16859.2806,,10432,,11901.2353,,45036.3077,,16244.1088,,27544.9548,,13526.4965,,,,
25.6680307,16921.3525,,7521.36508,,8769.61765,,50823.5524,,16826.7211,,33415.1742,,12185.0496,,,,,
25.8346908,,16871.8849,,10407.6508,,11917.1471,,45096.8392,,16275.1565,,27560.5419,,13531.461,,,,
26.001426,16920.5468,,7497.20635,,8741.67647,,50893.7622,,16823.4014,,33461.471,,12194.6099,,,,,
26.1680857,,16852.9209,,10429.8095,,11852.9706,,45115.1329,,16237.1429,,27532.7484,,13521.305,,,,
26.3347455,16898.705,,7505.52381,,8739.11765,,50789.7063,,16796.9796,,33433.5226,,12212.9645,,,,,
26.5014055,,16876.9209,,10429.5238,,11868.4412,,45079.8881,,16221.551,,27511.4323,,13488.227,,,,
26.6680653,16936.0288,,7487.87302,,8746.61765,,50857.1748,,16790.068,,33442.4774,,12168.6241,,,,,
26.8348007,,16824.2878,,10408.8889,,11895.9706,,45135.5804,,16293.8503,,27540.1548,,13522.922,,,,
27.0014605,16960.9209,,7492.79365,,8766.79412,,50849.6503,,16823.4286,,33480.6452,,12208.9078,,,,,
27.1681203,,16828.6906,,10429.8413,,11886.1471,,45024.5874,,16224.6259,,27594.8903,,13526.922,,,,
27.3347803,16922.9065,,7474.57143,,8747.88235,,50903.4126,,16797.8776,,33443.6903,,12182.5532,,,,,
27.5015155,,16878.1295,,10426.254,,11848.7941,,45104.1399,,16236.2177,,27568.2065,,13524,,,,
27.6681753,16929.5827,,7486.57143,,8765.32353,,50889.1469,,16833.0612,,33388.9548,,12215.5177,,,,,
27.8348353,,16850.4748,,10425.5238,,11896.6765,,45059.8322,,16232.8707,,27530.8645,,13468.6525,,,,
28.001495,16976.3741,,7497.26984,,8738.20588,,50858.6853,,16806.9116,,33443.0194,,12239.1489,,,,,
28.1681547,,16835.7986,,10451.0159,,11896.2059,,45113.2308,,16241.6871,,27524.129,,13525.9858,,,,
28.3348903,16910.3022,,7499.14286,,8719.61765,,50867.3846,,16816.8435,,33477.2129,,12202.4397,,,,,
28.50155,,16824.4604,,10425.0159,,11885.5,,45083.3007,,16231.6735,,27555.9484,,13473.9007,,,,
28.6682097,16945.6115,,7502.09524,,8752.61765,,50812.028,,16841.9864,,33411.5871,,12196.5957,,,,,
28.8348697,,16877.0647,,10401.7143,,11919.1176,,45061.6224,,16239.6463,,27539.4065,,13500.6241,,,,
29.0015295,16953.9568,,7534,,8764.58824,,50764.1958,,16822.2857,,33463.1226,,12196.7092,,,,,
29.1682647,,16812.7482,,10438.9841,,11873.3529,,45084.6993,,16264.6259,,27557.7806,,13477.9007,,,,
29.3349247,16882.446,,7515.07937,,8723.47059,,50821.5105,,16786.3401,,33425.0839,,12179.4894,,,,,
29.5015845,,16858.5899,,10458.127,,11854.9412,,45103.3007,,16262.068,,27546.4,,13479.0355,,,,
29.6682443,16920.3453,,7502.22222,,8759.88235,,50748.7552,,16809.4422,,33439.2516,,12192.9929,,,,,
29.8349043,,16871.8561,,10486.7619,,11871.4412,,45030.8811,,16271.0204,,27559.2774,,13458.8085,,,,
30.0016395,16932.4604,,7480.63492,,8743.82353,,50853.8741,,16835.3197,,33380.4645,,12196,,,,,
30.1682993,,16856.8058,,10427.3333,,11869.0588,,45088.3916,,16257.1429,,27537.8839,,13473.0496,,,,
30.3349593,16920.777,,7485.80952,,8756.73529,,50843.3287,,16875.0204,,33458.8387,,12161.4468,,,,,
30.501619,,16813.2374,,10416.8889,,11898,,45075.6084,,16277.8776,,27544.6452,,13505.5887,,,,
30.6682787,16944.259,,7478.53968,,8743.08824,,50787.4685,,16837.3878,,33379.7419,,12212.227,,,,,
30.8350143,,16893.3237,,10425.2698,,11899.8235,,45127.9161,,16272.5986,,27556.7226,,13487.8582,,,,
31.001674,16923.5396,,7508.57143,,8747.23529,,50807.4965,,16782.8571,,33389.3677,,12208.2837,,,,,
31.1683337,,16833.7842,,10420.9524,,11886.7059,,45085.4545,,16293.9864,,27576.3613,,13520.3972,,,,
31.3349937,16913.6978,,7494.22222,,8717.52941,,50782.8811,,16788.6259,,33408.3097,,12171.1206,,,,,
31.501729,,16874.9928,,10389.0794,,11872.3235,,45039.6084,,16252.7075,,27555.7161,,13487.8582,,,,
31.6683887,16889.2086,,7510.12698,,8739.52941,,50867.7203,,16838.1224,,33448.2581,,12215.9716,,,,,
31.8350487,,16847.8849,,10426.7937,,11868.2059,,45119.1608,,16250.9388,,27563.4065,,13556.6525,,,,
32.0017085,16948.8633,,7496.12698,,8738.94118,,50813.0909,,16822.4218,,33398.1161,,12213.5035,,,,,
32.1683685,,16864.1151,,10468.4127,,11888.1176,,45106.7692,,16267.5102,,27531.4065,,13504.6241,,,,
32.3351038,16929.8417,,7508.92063,,8758.79412,,50783.5524,,16828.517,,33416.5419,,12186.2411,,,,,
