---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 4,ROI 4,ROI 6,ROI 6,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,Isosbestic,GCaMP,-,-,-,-
17.3228,,15188.6619,,11980.381,,12693.5294,,16402.2585,,13444.9078,,,,
17.4895,15830.9353,,7584.19048,,8358.11765,,14699.0748,,10101.1348,,,,,
17.6561,,15248.2014,,12012.6349,,12674.7647,,16363.6735,,13433.2766,,,,
17.8228,15876.518,,7574.98413,,8359.02941,,14676.7891,,10100,,,,,
17.9895,,15143.7122,,11985.2381,,12659.1176,,16400.3537,,13431.6596,,,,
18.1562,15772,,7580.66667,,8383.05882,,14686.1497,,10092.766,,,,,
18.3229,,15126.8489,,12026.9524,,12745.0882,,16363.483,,13410.3546,,,,
18.4895,15783.4245,,7557.26984,,8391.52941,,14641.9864,,10091.0355,,,,,
18.6562,,15164.8058,,12010.0635,,12695.7353,,16373.6871,,13434.4965,,,,
18.8229,15792.518,,7616.57143,,8395.32353,,14681.9048,,10071.6596,,,,,
18.9896,,15215.7698,,12030.9841,,12707.3235,,16372.0816,,13428.766,,,,
19.1562,15791.6259,,7566.12698,,8376.79412,,14626.2313,,10102.3546,,,,,
19.3229,,15111.4532,,12040.5079,,12711.1176,,16410.1769,,13448.9929,,,,
19.4896,15846.0719,,7576.60317,,8367.79412,,14647.8095,,10100.9078,,,,,
19.6563,,15168.1439,,12013.5556,,12656.2353,,16392.4354,,13438.4681,,,,
19.8229,15797.8129,,7581.11111,,8339.44118,,14656.3265,,10075.7447,,,,,
19.9896,,15120.9209,,11982.8571,,12678.0882,,16353.8776,,13409.1915,,,,
20.1563,15718.8489,,7546.69841,,8393.20588,,14666.4218,,10075.5461,,,,,
20.323,,15014.446,,12007.4603,,12737.3529,,16342.5578,,13416,,,,
20.4897,15662.9353,,7569.52381,,8363.61765,,14691.8912,,10020.2553,,,,,
20.6563,,15116.518,,12012.5079,,12696.2647,,16367.5102,,13416.9078,,,,
20.823,15663.0216,,7551.49206,,8388.11765,,14684.4354,,10091.6596,,,,,
20.9896,,15016.259,,12025.0159,,12715.9412,,16373.7959,,13396.1418,,,,
21.1564,15574.1871,,7569.90476,,8339.32353,,14665.3061,,10063.773,,,,,
21.323,,15056.4029,,12017.3333,,12694.1176,,16376.3265,,13423.4894,,,,
21.4897,15653.5252,,7585.07937,,8387.76471,,14674.2857,,10032.9078,,,,,
21.6564,,15029.1223,,12024.7619,,12737.8824,,16395.2653,,13441.6738,,,,
21.8231,15548.6043,,7602.98413,,8391.05882,,14679.8912,,10060.766,,,,,
21.9897,,15070.5324,,12025.8095,,12712.8235,,16363.7551,,13398.695,,,,
22.1564,15644.8921,,7584,,8353.70588,,14709.7415,,10040.8511,,,,,
22.3231,,15090.3022,,12005.2381,,12689.1176,,16396.6531,,13442.5248,,,,
22.4897,15684.2014,,7542.44444,,8400.17647,,14702.3129,,10043.8582,,,,,
22.6565,,15168.7194,,12001.8095,,12681.9412,,16416.7619,,13368.766,,,,
22.8231,15692.9784,,7574.28571,,8377.88235,,14713.4966,,10076.9645,,,,,
22.9898,,15068.3165,,12020.0635,,12670.3529,,16371.8639,,13392.3121,,,,
23.1564,15611.7986,,7570.44444,,8362.76471,,14696.4082,,10054.1844,,,,,
23.3232,,15014.4173,,12038.3175,,12668.4706,,16380.898,,13417.6738,,,,
23.4898,15604.4317,,7583.14286,,8367.58824,,14644.9796,,10040.8794,,,,,
23.6565,,14942.5324,,11995.4921,,12670.4412,,16347.9456,,13402.0142,,,,
23.8232,15564.7482,,7569.33333,,8367,,14677.3061,,10044.227,,,,,
23.9898,,15025.1799,,12025.0794,,12696.8824,,16351.5102,,13428.7943,,,,
24.1566,15736.2302,,7586.31746,,8370.97059,,14649.3878,,10064.1135,,,,,
24.3232,,15074.4173,,11998.2857,,12680.2941,,16389.3878,,13442.0709,,,,
24.4899,15709.4964,,7585.42857,,8354.35294,,14652.3265,,10032.8227,,,,,
24.6565,,15070.2158,,11984.6984,,12755.3529,,16364.381,,13454.2695,,,,
24.8232,15709.8129,,7554.98413,,8361.23529,,14680.2993,,10034.0142,,,,,
24.9899,,15113.4964,,12011.5556,,12696.5294,,16375.2109,,13382.7234,,,,
25.1566,15756.6331,,7596.95238,,8371.64706,,14678.068,,10109.305,,,,,
25.3232,,15097.4101,,11966.8889,,12709.0294,,16330.9388,,13425.9858,,,,
25.4899,15646.0144,,7564.53968,,8358.14706,,14704.381,,10074.2128,,,,,
25.6566,,15042.2734,,11950.3175,,12711.7647,,16372.517,,13398.5532,,,,
25.8233,15681.4388,,7581.77778,,8372.5,,14653.415,,10057.0496,,,,,
25.99,,15011.5108,,12019.4921,,12652.7059,,16329.7143,,13440.5674,,,,
26.1566,15766.6763,,7579.5873,,8320.79412,,14720.2449,,10056.1986,,,,,
26.3233,,15034.705,,12025.5873,,12681.9118,,16447.3469,,13417.9007,,,,
26.49,15625.295,,7550.44444,,8375.5,,14706.6395,,10064.1986,,,,,
26.6567,,15039.1655,,11976.6032,,12712.4706,,16379.5102,,13388.227,,,,
26.8233,15635.6259,,7536.85714,,8335.70588,,14716.4898,,10067.4894,,,,,
26.99,,15001.8705,,12011.3651,,12755.7941,,16372.0816,,13412.2553,,,,
27.1567,15437.0072,,7574.98413,,8369.20588,,14714.966,,10044.3972,,,,,
27.3234,,14900.6619,,12003.5238,,12749.4412,,16337.3333,,13408.9362,,,,
27.49,15536,,7554.57143,,8374.47059,,14639.6463,,10063.773,,,,,
27.6567,,15030.6475,,12053.9365,,12692.2353,,16419.4286,,13424.766,,,,
27.8234,15548.8633,,7568.57143,,8389.79412,,14702.6122,,9997.50355,,,,,
27.9901,,15025.5252,,12013.5238,,12709.3824,,16381.3605,,13421.5603,,,,
28.1568,15668.4317,,7585.2381,,8365.14706,,14702.0952,,10045.2199,,,,,
28.3234,,15042.2446,,11991.0159,,12732.5,,16385.5238,,13362.2411,,,,
28.4901,15591.8561,,7576.38095,,8370.02941,,14687.1565,,10047.0355,,,,,
28.6567,,15021.1223,,11988.7937,,12748.7941,,16375.4014,,13389.7872,,,,
28.8235,15637.3813,,7575.77778,,8346.14706,,14663.4558,,10046.0709,,,,,
28.9901,,15066.2158,,12042.5397,,12729.6765,,16340.8435,,13454.4681,,,,
29.1568,15539.0791,,7565.90476,,8394.20588,,14704.1905,,10054.6099,,,,,
29.3235,,15026.1871,,12047.2698,,12701.5882,,16352.9252,,13448.766,,,,
29.4901,15664.1439,,7565.90476,,8385.82353,,14713.6054,,10074.4397,,,,,
29.6569,,15051.0216,,12028.6032,,12721.2941,,16368.7075,,13397.0213,,,,
29.8235,15541.1511,,7567.20635,,8358.02941,,14652.7619,,10051.3475,,,,,
29.9902,,14972.0576,,11998.9524,,12712.4118,,16363.3197,,13430.4113,,,,
30.1568,15734.9353,,7560.53968,,8385.58824,,14702.3946,,10112.0567,,,,,
30.3236,,15005.4388,,12016.4444,,12692.7941,,16384.7619,,13395.0355,,,,
30.4902,15466.0144,,7594.09524,,8388.94118,,14676.381,,10066.6667,,,,,
30.6569,,14932.2878,,11998.2857,,12736.0588,,16383.9456,,13445.2199,,,,
30.8235,15400.7194,,7603.20635,,8363.55882,,14691.1565,,10035.6879,,,,,
30.9902,,14907.3381,,11990.4762,,12708.0294,,16363.1565,,13417.305,,,,
31.1569,15480.259,,7581.01587,,8378.11765,,14682.068,,10072.6809,,,,,
31.3236,,14944.6619,,12028.6032,,12700,,16396.9796,,13418.0426,,,,
31.4903,15448.3741,,7565.77778,,8400.29412,,14671.9728,,10039.5461,,,,,
31.6569,,14923.0216,,11992.4762,,12686.9118,,16369.1156,,13426.2411,,,,
31.8236,15500.6331,,7578.53968,,8361.26471,,14698.4218,,10007.6596,,,,,
31.9903,,14906.3885,,11967.873,,12696.4118,,16372.5714,,13412.9362,,,,
32.157,15516.3453,,7568.8254,,8409.79412,,14696.3265,,10049.1348,,,,,
32.3236,,14992.4029,,11973.2698,,12689.0588,,16331.7279,,13404.4255,,,,
32.4903,15598.964,,7598.73016,,8367.79412,,14684.9524,,10052.9078,,,,,
32.657,,15053.8417,,11984.8889,,12709.4706,,16386.9388,,13361.844,,,,
32.8237,15620.3741,,7584.88889,,8389.70588,,14680.1088,,10050.383,,,,,
32.9904,,14990.7338,,11957.2381,,12720.0294,,16369.8776,,13421.0213,,,,
33.157,15606.5612,,7536.92063,,8365.44118,,14695.102,,10077.9574,,,,,
33.3237,,14927.7986,,12039.6825,,12659.2941,,16372.2721,,13421.9007,,,,
33.4904,15555.3094,,7557.77778,,8376.32353,,14707.3197,,10097.0213,,,,,
33.6571,,14968.7482,,11987.1111,,12679.2941,,16374.9116,,13423.9716,,,,
33.8237,15569.0935,,7489.2381,,8363.41176,,14672,,10069.1064,,,,,
33.9904,,14994.9065,,11972.0952,,12697.1471,,16412.517,,13409.7305,,,,
34.157,15566.8777,,7557.74603,,8373.14706,,14670.6667,,10063.9716,,,,,
34.3238,,15026.5899,,12005.1429,,12682.4412,,16383.9456,,13415.8582,,,,
34.4904,15572.3453,,7539.07937,,8388.14706,,14657.8503,,10066.5816,,,,,
34.6571,,14984.4317,,11962.6984,,12654.1471,,16399.7279,,13464.539,,,,
34.8238,15512.3453,,7562.4127,,8384.61765,,14679.3469,,10053.8723,,,,,
34.9905,,14912,,12003.9048,,12701.3235,,16438.0136,,13478.2979,,,,
35.1572,15479.9137,,7546.95238,,8386.70588,,14649.3878,,10040.3972,,,,,
35.3238,,14970.2734,,11969.2063,,12694.7353,,16401.2245,,13502.9504,,,,
35.4905,15485.1511,,7559.39683,,8366.5,,14678.8027,,10057.078,,,,,
35.6571,,14973.2662,,12004.5079,,12662.1176,,16372.9252,,13459.4894,,,,
35.8239,15524.9209,,7564.88889,,8396.05882,,14741.5782,,10066.5532,,,,,
