---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 3,ROI 3,ROI 4,ROI 4,ROI 5,ROI 5,ROI 6,ROI 6,ROI 8,ROI 8,ROI 9,ROI 9,ROI 11,ROI 11,F1 Event,F2 Event,F3 Event,F4 Event
Time(s),CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,CAM 1 EXC 1,CAM 1 EXC 2,-,-,-,-
8.6672175,36017.098,,26164.2803,,22300.5075,,15616.6525,,26838.7862,,12196.9067,,25490.7383,,20278.6309,,25291.0327,,,,,
8.83387725,,48117.4118,,30889.8089,,27215.0149,,36189.9291,,28416.7172,,21381.0933,,35158.604,,25396.7175,,27337.2026,,,,
9.00053725,35916.4706,,26207.0828,,22310.3284,,15592.5674,,26807.9448,,12217.4933,,25565.1007,,20216.6433,,25288.2092,,,,,
9.167197,,48158.7712,,30913.5541,,27277.403,,35833.5035,,28364.3862,,21283.0933,,35570.3893,,25366.5649,,27340.4706,,,,
9.33393225,35912.4183,,26133.6815,,22344.1791,,15567.461,,26952.2207,,12176.3733,,25521.5034,,20237.1959,,25311.817,,,,,
9.50059225,,48055.8431,,30892.4841,,27282.2388,,35712.1986,,28414.4552,,21239.5467,,35536.4564,,25359.3402,,27373.8039,,,,
9.667252,35867.3725,,26211.7452,,22300.3881,,15630.5816,,26919.5586,,12160.8,,25585.6376,,20153.0722,,25305.5686,,,,,
9.83391175,,48016.0523,,30873.8089,,27120.597,,35567.2624,,28444.0828,,21176.16,,35596.3221,,25275.2495,,27274.6144,,,,
10.0006473,35903.9216,,26152.7389,,22297.9701,,15567.2057,,26867.8069,,12152.1333,,25551.9732,,20167.1258,,25387.1634,,,,,
10.167307,,47911.0065,,30906.9299,,27123.8806,,35099.9433,,28464.6069,,21095.0133,,35560.3221,,25253.3113,,27350.6144,,,,
10.3339668,36129.5948,,26136.8153,,22289.5821,,15635.3191,,26867.2552,,12153.8933,,25571.3557,,20269.6907,,25319.4248,,,,,
10.5006268,,47993.8562,,30940.9682,,27160.1493,,34586.8085,,28365.4897,,21286.8267,,35554.7383,,25302.1031,,27420.5229,,,,
10.6672865,36122.7974,,26259.5669,,22310.1791,,15587.8298,,26880.8,,12189.7867,,25607.4899,,20130.8701,,25332.8366,,,,,
10.8340217,,47996.4183,,30983.6688,,27274.4776,,34405.2482,,28420,,21346.7733,,35429.1812,,25235.5299,,27415.0065,,,,
11.0006818,35838.5098,,26166.8025,,22297.2836,,15618.1277,,26878.1241,,12282.64,,25516.9128,,20171.1175,,25372.1046,,,,,
11.1673415,,47887.8693,,30910.5987,,27295.7313,,34151.3759,,28398.9241,,21298.6133,,35307.9732,,25100.3052,,27270.3529,,,,
11.3340015,36038.3268,,26128.1274,,22289.0448,,15675.7163,,26861.269,,12186.4267,,25505.2886,,20225.7155,,25247.9477,,,,,
11.5007367,,47955.7647,,30879.6178,,27292.597,,33935.8014,,28413.7655,,21278.24,,35510.0403,,25189.4433,,27344.8627,,,,
11.6673965,35912.3399,,26167.6688,,22296.3582,,15692.3972,,26852.0276,,12162.24,,25592.9933,,20159.0763,,25348.0523,,,,,
11.8340565,,48022.8758,,30911.4904,,27380.0299,,33815.2624,,28474.0966,,21173.76,,35442.7114,,25085.6247,,27378.5621,,,,
12.0007162,35919.3987,,26167.465,,22305.0149,,15628.1702,,26902.3172,,12165.6,,25598.6846,,20059.6454,,25296.0261,,,,,
12.167376,,48037.6471,,30866.3439,,27504.9552,,33603.8865,,28423.6414,,21143.6,,35233.4497,,25179.3814,,27270.1176,,,,
12.3341115,35956.0261,,26121.0191,,22317.9701,,15582.9504,,26893.7655,,12136.4533,,25651.8389,,20156.6021,,25291.268,,,,,
12.5007712,,47941.3856,,30877.3503,,27568.8358,,33312.9362,,28337.6,,21021.0667,,35200.6711,,25263.4722,,27238.3007,,,,
12.667431,35911.9216,,26236.0764,,22340.6269,,15572.0567,,26932.4414,,12163.4933,,25530.6309,,20232.9402,,25239.8431,,,,,
12.834091,,48067.7908,,30858.1146,,27464.9254,,34673.8156,,28378.3448,,21083.9467,,34953.3423,,25086.2515,,27138.4052,,,,
13.0008262,36003.8954,,26161.7834,,22209.5224,,15646.1844,,26830.6483,,12202.8267,,25571.4362,,20128.1649,,25284.6275,,,,,
13.167486,,48123.5556,,30766.7771,,27398.0299,,35012.7092,,28422.5931,,21054.88,,34723.5705,,25025.6495,,27227.9477,,,,
13.334146,35881.8039,,26182.4459,,22265.1343,,15633.3617,,26845.5724,,12185.52,,25569.557,,20071.0928,,25278.9804,,,,,
13.5008057,,48061.6732,,30870.0637,,27238.2388,,34771.2908,,28404.3586,,21011.2,,35343.1678,,24983.7856,,27131.1373,,,,
13.6674655,35974.719,,26185.8854,,22230.3582,,15645.0496,,26824.6345,,12183.5467,,25615.2483,,20167.0928,,25293.6732,,,,,
13.834201,,47965.0458,,30784.9936,,27318.9254,,35167.5177,,28399.8345,,21080.6933,,35202.2013,,24964.5526,,27125.0458,,,,
14.0008607,35905.4641,,26210.9809,,22254.0896,,15657.7305,,26774.5103,,12203.28,,25642.7919,,20174.0206,,25285.7255,,,,,
14.1675205,,47945.3072,,30850.828,,27431.1343,,35486.5816,,28399.6138,,20955.1733,,35224.349,,24947.8268,,27150.5098,,,,
14.3341805,36058.4052,,26333.9873,,22287.1642,,15520.5674,,26818.9793,,12177.0667,,25525.3423,,20151.2577,,25348.549,,,,,
14.5009158,,47965.1242,,30802.8025,,27452.1791,,35242.2979,,28359.0069,,20953.5467,,35447.2215,,25011.4639,,27135.7647,,,,
14.6675755,35801.9608,,26137.3248,,22268.5672,,15558.7234,,26836.8552,,12227.6,,25611.7852,,20127.7691,,25276.0784,,,,,
14.8342355,,47965.4641,,30842.9554,,27497.7313,,35113.7589,,28361.5172,,20948.8533,,35524.2148,,25029.8062,,27069.1765,,,,
15.0008952,35908.1569,,26190.4459,,22240.209,,15581.2482,,26793.5724,,12181.28,,25586.9799,,20139.7773,,25356,,,,,
15.167555,,47835.0065,,30769.2229,,27390.5672,,35165.3617,,28230.5103,,21229.04,,35281.2081,,25149.1629,,27103.4771,,,,
15.3342905,36076,,26077.4013,,22227.2239,,15529.8723,,26801.7931,,12176,,25527.5168,,20113.1876,,25388.0523,,,,,
15.5009503,,47820.183,,30810.1401,,27361.6418,,35043.0638,,28372.1931,,21593.1733,,35336.0805,,25269.7402,,27049.8301,,,,
15.66761,36084.0523,,26130.9554,,22262.2985,,15581.5887,,26800.9931,,12173.68,,25518.8188,,20128.4948,,25265.4641,,,,,
15.83427,,47768.0261,,30755.0828,,27463.6418,,34786.4681,,28338.1517,,21520.6667,,35260.0537,,25311.5711,,27166.1699,,,,
16.0010052,36062.9542,,26237.2484,,22323.9701,,15560.0284,,26885.6828,,12164.0267,,25468.8054,,20197.1794,,25247.085,,,,,
16.167665,,47748.1569,,30804.0764,,27414.5373,,34887.5177,,28368.6621,,21441.6,,35410.1208,,25212.833,,27122.9542,,,,
16.334325,36034.1699,,26213.121,,22294.4179,,15515.5177,,26758.7034,,12177.4933,,25637.2886,,20121.699,,25341.9869,,,,,
16.5009848,,47712.9412,,30844.2293,,27307.0746,,34730.7801,,28302.2621,,21419.04,,35462.2819,,25165.2289,,27151.7386,,,,
16.6676445,35980.549,,26196.586,,22229.6716,,15542.922,,26777.5724,,12233.4933,,25501.2617,,20123.7443,,25332.6797,,,,,
16.83438,,47838.719,,30764.2548,,27387.2836,,35449.078,,28276.1379,,21302.16,,35572.5101,,25320.3464,,27162.8497,,,,
17.0010398,36063.7908,,26199.5414,,22260.2985,,15552.8794,,26806.6759,,12159.92,,25602.8725,,20105.8969,,25361.6732,,,,,
17.1676995,,47909.2288,,30878.7771,,27362.5373,,35445.4184,,28295.3103,,21391.8933,,35533.047,,25477.6742,,27231.0065,,,,
17.3343595,35998.1438,,26249.6561,,22300.8358,,15565.3901,,26844.1655,,12192.9867,,25547.302,,20154.6557,,25165.3072,,,,,
17.5010948,,47860.9673,,30871.6943,,27178.209,,35371.5177,,28393.7103,,21478.64,,35586.953,,25420.0742,,27094.2745,,,,
17.6677545,35982.3529,,26213.2739,,22232.7761,,15536.8511,,26838.1793,,12187.5467,,25594.9799,,20142.5485,,25285.6209,,,,,
17.8344145,,47906.3007,,30859.1083,,27283.8209,,35197.5319,,28383.0897,,21502.32,,35585.0738,,25272.5113,,26913.3595,,,,
18.0010742,35937.8562,,26328.4841,,22355.6418,,15592.9078,,26848.5517,,12167.76,,25585.9866,,20129.5505,,25280.549,,,,,
18.1677342,,47902.902,,30768.3312,,27272.9254,,35503.3759,,28425.2138,,21337.7067,,35468.4564,,25201.2866,,26900.4183,,,,
18.3344695,35990.0392,,26258.1911,,22296.0896,,15497.6454,,26946.4,,12207.04,,25566.3087,,20197.8392,,25302.1438,,,,,
18.5011293,,47943.9216,,30859.6688,,27487.9403,,35313.9007,,28373.1586,,21302.1333,,35710.7919,,25263.5381,,26906.4314,,,,
18.6677892,35934.4314,,26309.2994,,22296.2687,,15647.3191,,26868.3586,,12218.9333,,25543.4899,,20134.9278,,25256.6797,,,,,
18.834449,,47895.4248,,30847.4395,,27237.791,,34619.4326,,28366.7586,,21341.0667,,35542.4161,,25157.7402,,26964.183,,,,
19.0011843,35916.8627,,26135.0828,,22218.9552,,15496.3121,,26858.8966,,12203.8933,,25548.7248,,20142.7464,,25350.3268,,,,,
19.1678443,,47896.6275,,30843.5924,,27480.8358,,34751.1773,,28333.5448,,21269.36,,35172.1074,,25035.8433,,26931.1895,,,,
19.334504,35874.1438,,26186.3694,,22281.8806,,15522.0709,,26892,,12264.8533,,25691.0336,,20116.5196,,25362.4837,,,,,
19.5011637,,47980.2353,,30781.121,,27335.1045,,34224.7092,,28359.9172,,21225.2533,,35482.6846,,25024.3299,,26961.8039,,,,
19.6678238,35904.732,,26296.9936,,22330.3881,,15544.0284,,26948.5793,,12202.0267,,25635.5168,,20053.6082,,25301.9608,,,,,
19.834559,,48045.5948,,30807.8217,,27348.5075,,34276.0567,,28419.4759,,21312.4533,,35653.1275,,25005.1959,,26992.4183,,,,
20.0012187,35870.1438,,26358.242,,22281.4328,,15532.0851,,27016.1655,,12134.9067,,25569.9329,,20147.068,,25262.9804,,,,,
20.1678787,,48114.9542,,30852.9936,,27322.3881,,35184.0284,,28351.1172,,21558.2133,,35632.5101,,25241.0062,,27033.8039,,,,
20.3345385,35860.7582,,26323.5414,,22232.3881,,15544.6809,,26951.1448,,12204.9333,,25501.6644,,20165.0474,,25263.1111,,,,,
20.5012737,,47885.7516,,30877.707,,27186.1791,,35318.5532,,28402.7586,,21610.8533,,36012.4295,,25264.6268,,27137.3856,,,,
20.6679337,35880.6013,,26321.0191,,22303.6418,,15579.6312,,26914.1517,,12189.52,,25523.3557,,20131.101,,25273.6993,,,,,
20.8345935,,47853.6471,,30833.4522,,27124.6567,,36072.3404,,28260.6897,,21572.5867,,35756.4832,,25171.9588,,27561.7778,,,,
21.0012533,35843.6078,,26325.2484,,22264,,15480.4823,,26824.7724,,12170.8267,,25581.1275,,20092.9649,,25342.0654,,,,,
21.1679133,,47895.634,,30882.4459,,27086.8358,,36984.3688,,28305.931,,21692.8533,,36212.698,,25124.7835,,27394.9804,,,,
21.3346485,35911.1895,,26410.8535,,22254.8955,,15534.0426,,26872.9379,,12279.2533,,25468.2416,,20163.0021,,25304.7843,,,,,
21.5013083,,47979.7386,,30821.9618,,26996.806,,36596.539,,28366.1793,,21675.8667,,36722.7383,,25086.1856,,27439.3725,,,,
21.6679683,35926.0915,,26309.707,,22262.597,,15543.6879,,26896.3862,,12167.7333,,25445.4497,,20229.7732,,25325.5686,,,,,
21.834628,,47994.0915,,30836.4586,,26961.7612,,36540.2553,,28416.1931,,21565.04,,36501.2081,,25198.4165,,27341.5163,,,,
22.0013633,35894.0131,,26148.3312,,22283.2239,,15462.5532,,26808.9931,,12193.2,,25515.7047,,20237.7237,,25268.9412,,,,,
22.1680233,,48147.9216,,30848.5096,,26979.0746,,36638.5532,,28504.469,,22420.0533,,36434.5235,,25211.2165,,27309.2288,,,,
22.334683,35983.634,,26329.1465,,22347.7015,,15535.2624,,26910.069,,12164.4267,,25614.094,,20182.0041,,25369.6732,,,,,
22.5013427,,48099.6601,,30923.2611,,27135.791,,36075.5177,,28354.2345,,22811.12,,36547.0604,,25199.6701,,27258.2484,,,,
22.6680027,35919.0065,,26296.8408,,22281.7612,,15511.1206,,26751.5862,,12172.2933,,25610.443,,20139.3485,,25311.9739,,,,,
22.834738,,48145.7778,,30873.6815,,27132.7761,,35958.3262,,28301.5724,,22535.8667,,36191.5973,,25069.0639,,27299.7647,,,,
23.0013977,35899.9477,,26332.535,,22200.7463,,15501.3333,,26733.8759,,12223.2267,,25582.5503,,20139.9423,,25319.5294,,,,,
23.1680577,,48205.5425,,30924.9172,,27104.6567,,35738.6099,,28359.4207,,22414.64,,36429.9329,,25127.3897,,27287.9739,,,,
23.3347175,35959.2157,,26291.2866,,22244.9851,,15528.1702,,26777.7931,,12224.9067,,25598.5503,,20156.833,,25285.4118,,,,,
23.5014527,,48198.2745,,30857.2484,,27076.6269,,35820.0851,,28339.8345,,22467.36,,36539.7852,,25118.1196,,27283.085,,,,
23.6681127,35983.5294,,26331.6688,,22248.9254,,15569.9858,,26857.1586,,12176.9867,,25616.7517,,20078.6804,,25347.0588,,,,,
23.8347725,,47931.5033,,30886.1656,,27084.0299,,35975.7163,,28363.5586,,22463.1733,,36489.8523,,24889.699,,27478.8758,,,,
24.0014325,35871.1111,,26282.242,,22290.5075,,15517.305,,26788.6897,,12199.3067,,25600.3221,,20180.3216,,25340.4444,,,,,
24.1681677,,48082.9281,,30829.4013,,27030.9254,,35529.7872,,28341.8759,,22278.4533,,36695.7315,,25020.5691,,27386.5621,,,,
24.3348275,35974.719,,26354.0382,,22197.5821,,15564.9645,,26786.7862,,12190.88,,25607.7852,,20165.4433,,25343.5817,,,,,
24.5014875,,48024.7843,,30770.5478,,26972.3582,,35404.5674,,28400.9103,,22045.1467,,37123.7852,,25108.3876,,27378.0131,,,,
24.6681473,35835.8954,,26291.1847,,22307.4925,,15536.8227,,26806.6207,,12165.12,,25727.3557,,20252.668,,25382.3791,,,,,
24.834807,,47871.1634,,30826.2675,,26937.7015,,35627.9433,,28400.2207,,21827.1467,,36879.5705,,25035.4804,,27177.0719,,,,
25.0015425,35805.6732,,26267.1847,,22312.6567,,15569.2199,,26828.6897,,12184.8,,25618.6846,,20200.7423,,25293.2026,,,,,
25.1682023,,47898.1438,,30905.9108,,26990.209,,37992.3688,,28351.6414,,21765.2533,,36470.7383,,24996.1237,,27103.8431,,,,
25.334862,35951.7908,,26260.4586,,22301.9701,,15517.2766,,26785.6552,,12184.6667,,25570.9799,,20081.0557,,25341.8562,,,,,
25.501522,,47912.5752,,30941.7834,,26973.7612,,38487.4043,,28438.8966,,21635.04,,36259.8926,,25009.2866,,27136.9673,,,,
25.6682572,35785.0719,,26248.3057,,22326.3284,,15447.8014,,26779.0345,,12169.4933,,25528.0537,,20077.6247,,25362.1438,,,,,
25.834917,,47872.4967,,30840.6115,,27069.1642,,37789.5887,,28345.269,,21595.7067,,36025.6913,,24996.2887,,27180.6536,,,,
26.001577,35917.281,,26330.5223,,22324.5373,,15426.1844,,26792.8828,,12195.1467,,25524.2953,,20105.0722,,25352.2092,,,,,
26.1682367,,48077.9608,,30937.5541,,27112.1493,,37583.773,,28356.5517,,21587.9467,,36945.2886,,25007.3732,,27007.2157,,,,
26.3348965,35805.6209,,26296.9427,,22333.194,,15458.1844,,26821.9034,,12205.7867,,25520.8859,,20165.1134,,25301.0719,,,,,
26.501632,,47982.0654,,30940.3822,,27016.6866,,37578.5248,,28332.2207,,21596.4533,,36743.8389,,25104.2639,,27031.817,,,,
26.6682918,35812.9673,,26301.758,,22282.4478,,15524.3688,,26818.9793,,12178.0533,,25654.1208,,20113.1876,,25327.634,,,,,
26.8349515,,47820.8105,,30838.9299,,27043.791,,36875.1773,,28300.331,,21602.4,,36946.2013,,25027.9918,,27174.7712,,,,
27.0016115,36003.7386,,26291.0318,,22273.4925,,15546.7801,,26788,,12186.24,,25660.2685,,20089.1381,,25337.4118,,,,,
27.1683468,,47888.8627,,30815.4904,,27176.4776,,36478.1277,,28301.4897,,21485.3333,,36902.9262,,25108.8495,,27052.4183,,,,
27.3350065,35883.3203,,26304.2293,,22333.0149,,15569.2482,,26858.069,,12191.6,,25681.1812,,20101.2454,,25361.281,,,,,
27.5016665,,48118.5882,,30882.1911,,27169.5821,,36540.7376,,28473.1862,,21619.36,,36847.8389,,25157.2454,,27016.2353,,,,
27.6683262,36002.902,,26335.4395,,22337.5224,,15551.9433,,26815.531,,12273.2533,,25683.7315,,20182.9608,,25346.0392,,,,,
27.834986,,47964.183,,30922.6242,,27484.8358,,36849.617,,28365.1034,,21391.1467,,36820.2685,,25035.4474,,27029.4118,,,,
28.0017215,35870.8497,,26267.1847,,22288.2985,,15611.1489,,26814.7862,,12189.9733,,25557.906,,20131.7278,,25345.4118,,,,,
28.1683812,,47943.6863,,30887.6178,,27451.7612,,36451.6596,,28327.2828,,21790.4267,,36750.8993,,24909.7567,,27652.9673,,,,
28.335041,35962.3268,,26288.2293,,22199.8507,,15581.2199,,26779.2276,,12145.2533,,25494.3356,,20174.7464,,25298.5621,,,,,
28.501701,,47896.183,,30870.7006,,27418.4478,,36058.7801,,28324.2483,,21783.4933,,36735.9195,,25018.9196,,27839.8431,,,,
28.6684362,36037.098,,26303.5414,,22309.3731,,15574.695,,26850.5931,,12220.6667,,25580.5101,,20135.3567,,25328.7843,,,,,
28.835096,,47883.7908,,30870.7261,,27400.3284,,35803.4326,,28247.3931,,21531.7867,,36903.1141,,25084.9649,,27890.4052,,,,
29.001756,36105.098,,26305.2484,,22321.0448,,15575.9149,,26824.4414,,12146.3733,,25554.1745,,20098.3423,,25241.4641,,,,,
29.1684158,,47891.3203,,30883.0573,,27480.0597,,36000.3972,,28286.6207,,21385.84,,36749.1275,,25125.6742,,27615.8431,,,,
29.3350755,35948.5229,,26261.6815,,22239.8507,,15513.617,,26757.9586,,12232.3733,,25532.9128,,20077.0969,,25285.4118,,,,,
29.501811,,47874.3007,,30917.5541,,27427.2239,,35331.8298,,28340.1655,,21538.4,,36605.9597,,25023.6701,,27688.2353,,,,
29.6684708,35999.6078,,26275.2611,,22337.5522,,15573.3333,,26708.3586,,12174.6667,,25476.5906,,20139.2825,,25277.1242,,,,,
29.8351305,,48049.7778,,30952.4841,,27489.4925,,35291.6879,,28222.0966,,21535.5467,,36262.6577,,25105.3526,,27683.0065,,,,
