---,ROI 0,ROI 0,ROI 1,ROI 1,ROI 2,ROI 2,ROI 3,ROI 3,ROI 4,ROI 4,F1 Event,F2 Event,F3 Event,F4 Event
Timestamp,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,ISO,GCaMP,,,,
22.16789,,17797.4959,,22290.6349,,17470.3051,,22230.5043,,20940.0333,,,,
22.33453,13915.7724,,16347.746,,13720.8136,,18431.687,,15179.3,,,,,
22.50123,,17796.3577,,22293.9365,,17463.3898,,22259.9652,,20959.7667,,,,
22.66787,13904.748,,16309.8095,,13741.5254,,18424.3826,,15183.4667,,,,,
22.83457,,17827.8374,,22341.3651,,17456.8814,,22242.087,,21013.5667,,,,
23.00128,13921.0081,,16348.0317,,13714.2034,,18402.3652,,15202.6,,,,,
23.16792,,17812.7805,,22297.5873,,17459.7966,,22260.9391,,21014.3667,,,,
23.33462,13933.3984,,16386.2857,,13752.5763,,18421.8435,,15220.4667,,,,,
23.50126,,17803.8049,,22313.4921,,17458.7458,,22267.9652,,20937.2333,,,,
23.66796,13933.2358,,16365.3333,,13746,,18454.887,,15156,,,,,
23.8346,,17775.7073,,22298.4127,,17470.9831,,22281.8435,,20931.5333,,,,
24.00131,13912.4553,,16331.4603,,13699.6271,,18390.2609,,15167.6667,,,,,
24.16794,,17823.6423,,22320.254,,17472.9492,,22258.5739,,20929.5,,,,
24.33465,13890.2439,,16336.5079,,13731.2881,,18453.7739,,15158.0667,,,,,
24.50135,,17793.8211,,22308.4762,,17473.3559,,22251.8261,,20928.5667,,,,
24.66799,13889.4309,,16391.3333,,13710.1017,,18444.3478,,15172.3667,,,,,
24.83469,,17784.4228,,22311.7143,,17459.0508,,22236.5217,,20939.4667,,,,
25.00133,13908.813,,16353.1111,,13729.7966,,18405.4957,,15161.4,,,,,
25.16804,,17802.0813,,22302.4444,,17431.7288,,22217.5304,,20913.0667,,,,
25.33468,13922.4715,,16381.7778,,13723.8305,,18395.5826,,15179.2667,,,,,
25.50138,,17787.8699,,22293.746,,17431.7627,,22238.2261,,20947.1333,,,,
25.66808,13916.9756,,16352.7937,,13700.7797,,18422.5043,,15180.6,,,,,
25.83472,,17803.8049,,22295.1746,,17429.8305,,22227.3043,,20946.7333,,,,
26.00142,13910.6992,,16344.6349,,13712.7797,,18434.0522,,15199.3,,,,,
26.16806,,17792.748,,22333.6825,,17450.1695,,22246.1217,,20907.6,,,,
26.33477,13900.4228,,16347.2381,,13718.4407,,18426.7826,,15215.3333,,,,,
26.50141,,17819.1545,,22287.3016,,17439.322,,22245.5652,,20932.2667,,,,
26.66811,13924.2602,,16362.6984,,13733.2203,,18439.4087,,15207.5333,,,,,
26.83481,,17832.1951,,22300.0317,,17474.4407,,22224.9043,,20952.8,,,,
27.00145,13911.3821,,16373.1429,,13717.6271,,18442.0522,,15189.5333,,,,,
27.16816,,17836.3902,,22283.2698,,17453.8644,,22210.8174,,20912,,,,
27.33479,13921.9512,,16360.3175,,13709.9322,,18460.9739,,15184.5333,,,,,
27.5015,,17861.8211,,22338.7937,,17437.8305,,22237.0087,,20948.5667,,,,
27.66814,13918.8293,,16364.9524,,13728.3729,,18464.487,,15156.0667,,,,,
27.83484,,17793.3659,,22316.381,,17485.1525,,22276.9391,,20923.3667,,,,
28.00154,13918.6667,,16404.0317,,13698.9831,,18446.2261,,15213.2333,,,,,
28.16818,,17779.5447,,22350.1587,,17446.339,,22222.3652,,20929.9,,,,
28.33489,13928.1951,,16392.2222,,13737.9661,,18453.4609,,15212.1333,,,,,
28.50153,,17807.0244,,22334.7937,,17499.4237,,22246.5043,,20918.5667,,,,
28.66823,13938.4715,,16381.7778,,13701.6949,,18449.4957,,15209.4,,,,,
28.83487,,17814.2114,,22326.254,,17439.1525,,22270.9565,,20905.0333,,,,
29.00157,13934.5366,,16388.381,,13731.8305,,18460.2783,,15227.0333,,,,,
29.16821,,17788.2276,,22325.6508,,17439.322,,22267.3739,,20904.0333,,,,
29.33491,13891.0894,,16337.1429,,13744.4746,,18411.0957,,15239.3333,,,,,
29.50162,,17807.4146,,22303.9683,,17463.5932,,22230.6087,,20946.5333,,,,
29.66826,13937.5285,,16344.127,,13735.9322,,18420.9391,,15235.9667,,,,,
29.83496,,17757.5285,,22310.2857,,17458.7458,,22240.6609,,20957.3,,,,
30.0016,13939.3821,,16351.0476,,13772.1356,,18440.2783,,15231.8333,,,,,
30.1683,,17800.9106,,22283.3333,,17467.1186,,22260.5913,,20931.9333,,,,
30.33494,13916.3252,,16351.0794,,13707.5593,,18429.6348,,15218.5333,,,,,
30.50164,,17792.878,,22297.4921,,17437.8644,,22241.6696,,20931.7667,,,,
30.66835,13883.7073,,16381.1429,,13730.2373,,18430.713,,15201.5333,,,,,
30.83499,,17821.9512,,22280.7302,,17453.1186,,22221.2174,,20948.9,,,,
31.00169,13937.1057,,16346.127,,13700.678,,18432.313,,15222.1333,,,,,
31.16833,,17817.0407,,22295.1111,,17438.7458,,22232.5565,,20967.5333,,,,
31.33503,13939.3821,,16349.5238,,13713.661,,18423.3739,,15214.7333,,,,,
31.50167,,17792.2927,,22285.5238,,17449.1525,,22258.7478,,20961.8667,,,,
31.66838,13910.374,,16317.5556,,13738,,18395.4783,,15210.3,,,,,
31.83508,,17836.4553,,22273.1111,,17494,,22259.3043,,20960.9,,,,
32.00172,13911.3496,,16317.3016,,13742.2373,,18450.2609,,15214.2333,,,,,
32.16842,,17830.7967,,22268.9206,,17463.661,,22277.1478,,20976.5333,,,,
32.33506,13907.6098,,16312.5714,,13733.4576,,18424.9391,,15200.7667,,,,,
32.50176,,17803.3496,,22316.4127,,17455.661,,22246.7478,,20923.5,,,,
32.6684,13937.9187,,16321.0159,,13703.8305,,18417.5652,,15188.5667,,,,,
32.83511,,17753.6585,,22333.4921,,17472.6102,,22254.4696,,20928.6,,,,
33.00181,13949.3008,,16326.1905,,13714.6102,,18449.3913,,15198.2,,,,,
33.16845,,17784.065,,22292.0317,,17448.2712,,22220.1739,,20899.2667,,,,
33.33515,13972.9431,,16328.4127,,13754.8814,,18428.6261,,15232.4667,,,,,
33.50179,,17787.3496,,22260.5079,,17446.678,,22229.0435,,20908.5333,,,,
33.6685,13885.2358,,16302.2857,,13729.0847,,18444.0348,,15222.7333,,,,,
33.83513,,17813.0732,,22292.4444,,17419.1525,,22226.3652,,20961.4,,,,
34.00184,13940.748,,16313.619,,13717.661,,18436,,15242.8,,,,,
34.16848,,17767.935,,22305.5873,,17457.7627,,22260.8696,,20933,,,,
34.33518,13946.1138,,16329.3651,,13717.0508,,18474.3304,,15205.6667,,,,,
34.50188,,17773.2358,,22316.0635,,17436.8475,,22261.8087,,20934.6,,,,
34.66852,13921.1382,,16324.4127,,13703.5254,,18467.3391,,15212.6667,,,,,
34.83523,,17775.187,,22361.7778,,17452.5424,,22246.5391,,20960.7333,,,,
35.00186,13927.2846,,16322.6984,,13695.0508,,18445.3913,,15209.9333,,,,,
35.16857,,17808.2276,,22302.254,,17434.8814,,22260.9043,,20951.6333,,,,
35.33521,13949.9837,,16339.7143,,13704.9153,,18451.8609,,15143.1333,,,,,
35.50191,,17787.3171,,22336.254,,17464.339,,22229.2522,,20929.2,,,,
35.66861,13945.1057,,16363.619,,13710.3051,,18475.513,,15221.4,,,,,
35.83525,,17773.0732,,22320.4444,,17438.9153,,22238.6087,,20949.2,,,,
36.00196,13912.5854,,16348.2857,,13713.661,,18473.6,,15221.1667,,,,,
36.1686,,17804.878,,22319.7143,,17468.1356,,22253.9826,,20951.0667,,,,
36.3353,13923.935,,16323.8413,,13714.7119,,18470.4348,,15208.5667,,,,,
36.50194,,17749.8211,,22338.8889,,17436.4746,,22276.1391,,20959,,,,
36.66864,13915.252,,16346.1587,,13694.7797,,18460.5913,,15249.8,,,,,
36.83535,,17765.8211,,22349.0476,,17459.9322,,22254.1217,,20943.0667,,,,
37.00198,13944.2602,,16321.9365,,13700.5763,,18492.0696,,15237.2667,,,,,
37.16869,,17823.5122,,22325.746,,17490,,22287.0261,,20926.2333,,,,
37.33533,13897.0732,,16305.9365,,13733.5932,,18449.287,,15179.4667,,,,,
37.50203,,17771.2195,,22323.3016,,17459.6949,,22272.1043,,20950.9667,,,,
37.66867,13928.8455,,16315.873,,13705.8644,,18451.8957,,15208.4333,,,,,
37.83537,,17834.4715,,22315.2063,,17467.3559,,22233.5304,,20920.0333,,,,
38.00208,13918.4065,,16337.9048,,13699.8983,,18437.1826,,15215.0333,,,,,
38.16872,,17777.8537,,22297.2698,,17468.8475,,22232.5913,,20886.9667,,,,
38.33542,13921.8537,,16357.7143,,13702.2034,,18432.6261,,15151.4333,,,,,
38.50206,,17811.1545,,22297.5556,,17426.678,,22231.7565,,20949.7,,,,
38.66876,13932.065,,16341.4286,,13713.0847,,18435.6522,,15184.7667,,,,,
38.8354,,17788.6179,,22321.1746,,17451.0169,,22225.3217,,20931.3667,,,,
39.0021,13910.0488,,16341.5556,,13722.9492,,18441.7043,,15187.2,,,,,
39.16881,,17792.2927,,22328.9841,,17453.5593,,22276.313,,20932.5667,,,,
39.33545,13913.0407,,16325.1746,,13705.2542,,18460.4174,,15202.1667,,,,,
39.50215,,17787.5772,,22295.9048,,17465.661,,22249.9826,,20916.5333,,,,
39.66879,13906.6341,,16322.9841,,13706.1695,,18492.9043,,15158.7333,,,,,
39.83549,,17789.3659,,22295.9365,,17467.5593,,22220.1739,,20904.6,,,,
40.00213,13933.0407,,16336.4762,,13720.9831,,18483.2,,15181.3333,,,,,
40.16883,,17790.8943,,22309.2698,,17439.4915,,22291.6522,,20931.6,,,,
40.33547,13934.2114,,16416.6667,,13694.9153,,18440.4522,,15209.4667,,,,,
40.50218,,17789.2683,,22344.2857,,17435.1186,,22260.2435,,20956.9,,,,
40.66888,13934.6667,,16406,,13710.4746,,18430.087,,15213.6,,,,,
40.83552,,17783.122,,22328.4127,,17472.1017,,22274.087,,20914.9333,,,,
41.00222,13924.748,,16313.2381,,13686.4068,,18477.4261,,15220.1667,,,,,
41.16886,,17781.3659,,22296.6349,,17475.9322,,22248.313,,20917.4,,,,
41.33557,13889.2033,,16351.6825,,13692.3051,,18429.4609,,15183.5333,,,,,
41.5022,,17802.7967,,22338.8571,,17432.9492,,22273.4261,,20871.1,,,,
41.66891,13907.2195,,16378.7302,,13703.2542,,18463.0609,,15199.8,,,,,
41.83561,,17808.3902,,22318.1587,,17442.7797,,22256.2783,,20893.2667,,,,
42.00225,13892.0976,,16374.3492,,13695.8305,,18407.5478,,15175.5333,,,,,
42.16895,,17804.4553,,22327.0476,,17446.8475,,22214.2957,,20891.2667,,,,
42.33559,13885.1057,,16355.8413,,13734.0339,,18439.0261,,15225.9,,,,,
42.5023,,17799.5772,,22312.7937,,17479.2542,,22221.7043,,20941.5667,,,,
42.66894,13923.9024,,16346.6032,,13711.9661,,18422.6783,,15201.2333,,,,,
42.83564,,17866.3089,,22317.3333,,17455.0847,,22221.3217,,20957.9667,,,,
43.00234,13912.2602,,16354.7302,,13702.5763,,18451.4087,,15223.8667,,,,,
43.16898,,17858.5366,,22336.0317,,17467.1864,,22301.4957,,20915.9667,,,,
43.33569,13910.9593,,16351.0159,,13734.1017,,18443.7913,,15202.1333,,,,,
43.50232,,17796.065,,22337.9683,,17495.0847,,22228.5565,,20915.1,,,,
43.66903,13901.1707,,16335.4921,,13704.8475,,18454.2609,,15188.6667,,,,,
43.83567,,17812.7805,,22322.3492,,17502.7119,,22247.513,,20919.2,,,,
44.00237,13931.2195,,16323.746,,13695.4576,,18460.5217,,15195.7667,,,,,
44.16907,,17838.4715,,22286.0952,,17468.2034,,22245.9826,,20949.7667,,,,
44.33571,13927.4472,,16360.381,,13727.1525,,18398.1217,,15201.3,,,,,
44.50242,,17826.6992,,22280.6667,,17470.0678,,22320.9739,,20883.0667,,,,
44.66906,13911.6098,,16346.0952,,13726.6102,,18492.8696,,15192.3333,,,,,
44.83576,,17798.8293,,22321.8095,,17446.9153,,22280.9391,,20922.6333,,,,
45.0024,13920.5854,,16393.746,,13717.322,,18499.9304,,15226.9,,,,,
45.1691,,17806.6016,,22359.1111,,17442.5763,,22301.287,,20940.5333,,,,
45.33574,13919.7398,,16379.8095,,13720.8136,,18424.3478,,15230.5667,,,,,
45.50244,,17825.5285,,22312.6984,,17496.5763,,22240.7652,,20927.2667,,,,
45.66915,13907.187,,16365.4603,,13703.5932,,18422.7826,,15208.0333,,,,,
45.83579,,17802.6341,,22321.8095,,17451.2542,,22290.3652,,20929.2667,,,,
46.00249,13934.2114,,16347.3016,,13711.5593,,18433.2174,,15220.0667,,,,,
46.16913,,17803.252,,22312.8889,,17458.1356,,22279.687,,20926.4667,,,,
46.33583,13909.3984,,16380.3492,,13728.678,,18446.9565,,15179.0667,,,,,
46.50247,,17794.439,,22368.2222,,17504.1356,,22280.487,,20900.3,,,,
46.66917,13910.9268,,16384.5079,,13694.678,,18447.6174,,15195.8667,,,,,
46.83588,,17793.3333,,22324.6349,,17464.9153,,22258.887,,20930.3667,,,,
47.00252,13908.2602,,16392.2857,,13725.3559,,18406.9565,,15190.8667,,,,,
47.16922,,17812.6504,,22350.3492,,17432.5763,,22255.6522,,20911.9333,,,,
47.33586,13946.8618,,16368.0952,,13710.2034,,18418.2261,,15187.3333,,,,,
47.50256,,17795.122,,22307.6508,,17461.3898,,22288.6957,,20933.4667,,,,
47.6692,13915.5447,,16377.3016,,13723.4915,,18376.0696,,15185.9667,,,,,
47.83591,,17786.5041,,22297.619,,17460.4746,,22239.8609,,20956.7,,,,
48.00261,13912.1951,,16355.746,,13715.8983,,18366.1913,,15190.3333,,,,,
48.16925,,17843.4146,,22317.3333,,17449.0508,,22253.1478,,20901.4667,,,,
48.33595,13882.8618,,16321.1111,,13716.7797,,18372.9739,,15197.3,,,,,
48.50259,,17869.0732,,22314.7302,,17452.5763,,22239.6522,,20910.3667,,,,
48.66929,13938.0488,,16332.6349,,13713.5932,,18383.6174,,15180.9,,,,,
48.83593,,17837.8862,,22315.6508,,17436.5424,,22232.313,,20912.6667,,,,
49.00264,13921.0407,,16331.2063,,13720.1017,,18342.2609,,15218.2333,,,,,
49.16934,,17798.5041,,22287.1111,,17454.0678,,22222.6783,,20917.7667,,,,
49.33598,13943.8374,,16389.3651,,13739.0847,,18368.4522,,15167.6333,,,,,
49.50268,,17796.3577,,22301.0159,,17442.5763,,22217.5304,,20947.6,,,,
49.66932,13945.4309,,16383.1111,,13748,,18367.8261,,15193.5667,,,,,
49.83603,,17803.6423,,22377.3016,,17447.5932,,22258.087,,20958.0667,,,,
50.00266,13905.3333,,16400.127,,13712.3051,,18357.6696,,15218.9333,,,,,
50.16937,,17835.0894,,22342.9524,,17439.661,,22240.4522,,20936.9667,,,,
50.33601,13906.1138,,16333.3333,,13714.8475,,18410.5043,,15169.9333,,,,,
50.50271,,17834.8943,,22332.7937,,17483.0508,,22238.4,,20959.5333,,,,
50.66941,13917.9512,,16384.1587,,13753.5932,,18453.9478,,15231.2333,,,,,
50.83605,,17831.2195,,22347.2698,,17500.6102,,22256.0696,,20959.9667,,,,
51.00276,13947.5772,,16362.5714,,13724.339,,18414.1217,,15213.8333,,,,,
51.16939,,17830.5691,,22309.9048,,17508.2373,,22276.5565,,20954.9667,,,,
51.3361,13908,,16362.8889,,13728.2034,,18419.4435,,15178.3,,,,,
51.50274,,17808.6504,,22336.0952,,17504.3729,,22349.0435,,20978.2,,,,
51.66944,13922.8293,,16376.381,,13739.3898,,18439.2348,,15206.9667,,,,,
51.83614,,17806.1463,,22305.746,,17442.0339,,22335.4435,,20950.1333,,,,
52.00278,13915.2846,,16365.3016,,13716.8475,,18453.0087,,15238,,,,,
52.16949,,17803.8699,,22349.0794,,17460.5085,,22351.687,,20939.4333,,,,
52.33613,13936.4553,,16380.6349,,13707.8644,,18447.9652,,15217.3667,,,,,
